"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S1057915.325504","SP1057915.164.1","SY1057915.2026.281783","MASTER(1057915)","MASTER(1057915)","24.05.26 11:32","Prod","A1057915.40774","Bestellung 1","Ludwig(917501)","S1057915.325504","SALE","1","26.0","26.0","0.0","0.0","0.0","0.0","1293","Pizza Cowabunga","Pizza(1327290923352292)","Pizza","MwSt. 2.6%","1.026","25.341131","0.658869","Take away"
"S1057915.325505","SP1057915.164.2","SY1057915.2026.281784","MASTER(1057915)","MASTER(1057915)","24.05.26 11:32","Prod","A1057915.40774","Bestellung 1","Ludwig(917501)","S1057915.325505","SALE","1","17.9","17.9","0.0","0.0","0.0","0.0","1383","Pizza Marinara","Pizza(1327290923352292)","Pizza","MwSt. 2.6%","1.026","17.446394","0.453606","Take away"
"S1057915.325506","SP1057915.164.3","SY1057915.2026.281785","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325506","SALE","1","13.0","13.0","0.0","0.0","0.0","0.0","1231","Aperol Spritz","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","12.025902","0.974098","Tischservice"
"S1057915.325507","SP1057915.164.4","SY1057915.2026.281786","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325507","SALE","1","16.0","16.0","0.0","0.0","0.0","0.0","1391","Moscow Mule","Getränke(1327290923352111)","Cocktails","MwSt. 8.1%","1.081","14.80111","1.19889","Tischservice"
"S1057915.325508","SP1057915.164.5","SY1057915.2026.281787","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325508","SALE","1","8.0","8.0","0.0","0.0","0.0","0.0","719","Acqua Morelli sparkling 0,75l","Getränke(1327290923352111)","[]","MwSt. 8.1%","1.081","7.400555","0.599445","Tischservice"
"S1057915.325509","SP1057915.164.6","SY1057915.2026.281788","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40776","Tisch 503","Placido(917627)","S1057915.325509","SALE","1","5.0","5.0","0.0","0.0","0.0","0.0","1210","Goldberg Ginger Ale 0,2","Getränke(1327290923352111)","AFG","MwSt. 8.1%","1.081","4.625347","0.374653","Tischservice"
"S1057915.325510","SP1057915.164.7","SY1057915.2026.281789","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40776","Tisch 503","Placido(917627)","S1057915.325510","SALE","1","8.5","8.5","0.0","0.0","0.0","0.0","1422","Pure Lady 0,4","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","7.86309","0.63691","Tischservice"
"S1057915.325511","SP1057915.164.8","SY1057915.2026.281790","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40776","Tisch 503","Placido(917627)","S1057915.325511","SALE","1","15.0","15.0","0.0","0.0","0.0","0.0","738","Cheese Roll","Vorspeisen(1327290923353063)","[]","MwSt. 8.1%","1.081","13.876041","1.123959","Tischservice"
"S1057915.325512","SP1057915.164.9","SY1057915.2026.281791","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40776","Tisch 503","Placido(917627)","S1057915.325512","SALE","1","26.0","26.0","0.0","0.0","0.0","0.0","1381","Pizza Margherita di Bufalina","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","24.051804","1.948196","Tischservice"
"S1057915.325513","SP1057915.164.10","SY1057915.2026.281792","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:38","Prod","A1057915.40776","Tisch 503","Placido(917627)","S1057915.325513","SALE","1","32.9","32.9","0.0","0.0","0.0","0.0","14847","Trufflepasta in a Pizza Bowl","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","30.434783","2.465217","Tischservice"
"S1057915.325514","SP1057915.164.11","SY1057915.2026.281793","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:43","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325514","SALE","1","24.9","24.9","0.0","0.0","0.0","0.0","1435","Salsiccia Style","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","23.034228","1.865772","Tischservice"
"S1057915.325515","SP1057915.164.12","SY1057915.2026.281794","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:44","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325515","SALE","1","18.0","18.0","0.0","0.0","0.0","0.0","736","Focaccia mit 3 Dips","Vorspeisen(1327290923353063)","[]","MwSt. 8.1%","1.081","16.651249","1.348751","Tischservice"
"S1057915.325516","SP1057915.164.13","SY1057915.2026.281795","MASTER(1057915)","Iphone 6(1057921)","24.05.26 11:44","Prod","A1057915.40775","Tisch 509","Placido(917627)","S1057915.325516","SALE","1","0.0","0.0","0.0","0.0","0.0","0.0","17104","Nduja Mayo","Vorspeisen(1327290923353063)","","MwSt. 8.1%","1.081","0","0","Tischservice"
