"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S1120288.145980","SP1120288.38.1","SY1120288.2026.145980","Master(1120288)","Master(1120288)","24.05.26 05:30","Prod","A1120288.19197","Aussenbereich 100, 200 300, Tisch 203","Max(988181)","S1120288.145918","TRANSITORY_COMP","-1","7.0","-7.0","0.0","0.0","0.0","0.0","1297","Crodino Italian","Getränke(1020286661035562)","AFG","MwSt. 19%","1.19","-5.882353","-1.117647","Tischservice"
"S1120288.145981","SP1120288.38.2","SY1120288.2026.145981","Master(1120288)","Master(1120288)","24.05.26 05:30","Prod","A1120288.19198","Aussenbereich 100, 200 300, Tisch 203","Max(988181)","S1120288.145918","TRANSITORY_OPEN","1","7.0","7.0","0.0","0.0","0.0","0.0","1297","Crodino Italian","Getränke(1020286661035562)","AFG","MwSt. 19%","1.19","5.882353","1.117647","Tischservice"
"S1120288.145983","SP1120288.38.4","SY1120288.2026.145983","Master(1120288)","Iphone 4(1120302)","24.05.26 11:40","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145983","SALE","1","4.9","4.9","0.0","0.0","0.0","0.0","1378","Maracujaschorle 0,4","Getränke(1020286661035562)","AFG","MwSt. 19%","1.19","4.117647","0.782353","Tischservice"
"S1120288.145984","SP1120288.38.5","SY1120288.2026.145984","Master(1120288)","Iphone 4(1120302)","24.05.26 11:40","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145984","SALE","1","3.2","3.2","0.0","0.0","0.0","0.0","1222","Acqua Morelli Sparkling 0,25","Getränke(1020286661035562)","AFG","MwSt. 19%","1.19","2.689076","0.510924","Tischservice"
"S1120288.145985","SP1120288.38.6","SY1120288.2026.145985","Master(1120288)","Iphone 4(1120302)","24.05.26 11:41","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145985","SALE","1","4.2","4.2","0.0","0.0","0.0","0.0","5805","Coca-Cola Zero","Getränke(1020286661035562)","[]","MwSt. 19%","1.19","3.529412","0.670588","Tischservice"
"S1120288.145986","SP1120288.38.7","SY1120288.2026.145986","Master(1120288)","Iphone 4(1120302)","24.05.26 11:41","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145986","SALE","1","9.0","9.0","0.0","0.0","0.0","0.0","1313","Focaccia mit 3 Dips","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","8.411215","0.588785","Tischservice"
"S1120288.145987","SP1120288.38.8","SY1120288.2026.145987","Master(1120288)","Iphone 4(1120302)","24.05.26 11:41","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145987","SALE","1","0.0","0.0","0.0","0.0","0.0","0.0","1452","Trüffel Mayo","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","Tischservice"
"S1120288.145988","SP1120288.38.9","SY1120288.2026.145988","Master(1120288)","Iphone 4(1120302)","24.05.26 11:41","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145988","SALE","1","0.0","0.0","0.0","0.0","0.0","0.0","17104","Nduja Mayo","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","Tischservice"
"S1120288.145989","SP1120288.38.10","SY1120288.2026.145989","Master(1120288)","Iphone 4(1120302)","24.05.26 11:41","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145989","SALE","1","0.0","0.0","0.0","0.0","0.0","0.0","23372","Kräuterbutter","Vorspeisen(1020286661042526)","[]","MwSt. 7%","1.07","0","0","Tischservice"
"S1120288.145990","SP1120288.38.11","SY1120288.2026.145990","Master(1120288)","Iphone 4(1120302)","24.05.26 11:42","Prod","A1120288.19200","","Paulina(1041268)","S1120288.145990","SALE","1","18.0","18.0","0.0","0.0","0.0","0.0","1447","Pizza The Beast","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","16.82243","1.17757","Tischservice"
