"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S911659.2331651","SP911659.635.1","SY911659.2026.515451","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311720","Bestellung TU842","Online Order(691144)","S911659.1931542","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15580","Bacon N Cheese (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2331652","SP911659.635.2","SY911659.2026.515452","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311720","Bestellung TU842","Online Order(691144)","S911659.1931543","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15700","Pizza White Tuna (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2331653","SP911659.635.3","SY911659.2026.515453","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311721","Bestellung CH791","Online Order(691144)","S911659.1945809","TRANSITORY_COMP","-1","10.0","-10.0","0.0","0.0","0.0","0.0","16131","Pizza Nutella (Webshop)","Desserts(1020286661039931)","","MwSt. 7%","1.07","-9.345794","-0.654206","OA Take-Away"
"S911659.2331654","SP911659.635.4","SY911659.2026.515454","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311721","Bestellung CH791","Online Order(691144)","S911659.1945810","TRANSITORY_COMP","-2","15.0","-30.0","0.0","0.0","0.0","0.0","15292","Pizza Margherita di Bufalina (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-28.037383","-1.962617","OA Take-Away"
"S911659.2331655","SP911659.635.5","SY911659.2026.515455","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311722","Bestellung KY243","Online Order(691144)","S911659.1947671","TRANSITORY_COMP","-1","15.0","-15.0","0.0","0.0","0.0","0.0","15292","Pizza Margherita di Bufalina (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.018692","-0.981308","OA Take-Away"
"S911659.2331656","SP911659.635.6","SY911659.2026.515456","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311723","Bestellung LY092","Online Order(691144)","S911659.2002897","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15556","Pizza Vegan Salami (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2331657","SP911659.635.7","SY911659.2026.515457","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311724","Bestellung RV130","Online Order(691144)","S911659.2009256","TRANSITORY_COMP","-2","18.0","-36.0","0.0","0.0","0.0","0.0","15532","Pizza The Beast (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-33.64486","-2.35514","OA Take-Away"
"S911659.2331658","SP911659.635.8","SY911659.2026.515458","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311724","Bestellung RV130","Online Order(691144)","S911659.2009257","TRANSITORY_COMP","-1","18.0","-18.0","0.0","0.0","0.0","0.0","15412","The Rock (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-16.82243","-1.17757","OA Take-Away"
"S911659.2331659","SP911659.635.9","SY911659.2026.515459","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311725","Bestellung TX983","Online Order(691144)","S911659.2009503","TRANSITORY_COMP","-1","17.0","-17.0","0.0","0.0","0.0","0.0","15604","Pizza Burrata Bomb (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-15.88785","-1.11215","OA Take-Away"
"S911659.2331660","SP911659.635.10","SY911659.2026.515460","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311725","Bestellung TX983","Online Order(691144)","S911659.2009504","TRANSITORY_COMP","-1","9.0","-9.0","0.0","0.0","0.0","0.0","15123","Focaccia (Webshop)","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","-8.411215","-0.588785","OA Take-Away"
"S911659.2331661","SP911659.635.11","SY911659.2026.515461","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311725","Bestellung TX983","Online Order(691144)","S911659.2009505","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","6907","Aioli","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
"S911659.2331662","SP911659.635.12","SY911659.2026.515462","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311725","Bestellung TX983","Online Order(691144)","S911659.2009506","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","17104","Nduja Mayo","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
"S911659.2331663","SP911659.635.13","SY911659.2026.515463","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311725","Bestellung TX983","Online Order(691144)","S911659.2009507","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","1243","Basilikum-Pesto Dip","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
"S911659.2331664","SP911659.635.14","SY911659.2026.515464","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311726","Bestellung ZX171","Online Order(691144)","S911659.2034082","TRANSITORY_COMP","-1","14.5","-14.5","0.0","0.0","0.0","0.0","15340","Green Mamba vegan (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-13.551402","-0.948598","OA Take-Away"
"S911659.2331665","SP911659.635.15","SY911659.2026.515465","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311726","Bestellung ZX171","Online Order(691144)","S911659.2034083","TRANSITORY_COMP","-1","20.0","-20.0","0.0","0.0","0.0","0.0","15652","Vegan Beef Chimichurri (Webshop)","Pizza(1020286661040718)","[]","MwSt. 7%","1.07","-18.691589","-1.308411","OA Take-Away"
"S911659.2331666","SP911659.635.16","SY911659.2026.515466","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311727","Bestellung WC080","Online Order(691144)","S911659.2034680","TRANSITORY_COMP","-1","16.9","-16.9","0.0","0.0","0.0","0.0","24973","Return of the Mac (Webshop)","Pizza(1020286661040718)","[]","MwSt. 7%","1.07","-15.794393","-1.105607","OA Take-Away"
"S911659.2331667","SP911659.635.17","SY911659.2026.515467","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311727","Bestellung WC080","Online Order(691144)","S911659.2034681","TRANSITORY_COMP","-1","12.0","-12.0","0.0","0.0","0.0","0.0","15244","Pizza Margherita (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-11.214953","-0.785047","OA Take-Away"
"S911659.2331668","SP911659.635.18","SY911659.2026.515468","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311728","Bestellung FX487","Online Order(691144)","S911659.2036262","TRANSITORY_COMP","-1","9.0","-9.0","0.0","0.0","0.0","0.0","15220","Pizza Marinara (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-8.411215","-0.588785","OA Take-Away"
"S911659.2331669","SP911659.635.19","SY911659.2026.515469","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311729","Bestellung DZ002","Online Order(691144)","S911659.2099685","TRANSITORY_COMP","-1","12.0","-12.0","0.0","0.0","0.0","0.0","15244","Pizza Margherita (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-11.214953","-0.785047","OA Take-Away"
"S911659.2331670","SP911659.635.20","SY911659.2026.515470","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311730","Bestellung IR598","Online Order(691144)","S911659.2100643","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15700","Pizza White Tuna (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2331671","SP911659.635.21","SY911659.2026.515471","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311731","Bestellung OL077","Online Order(691144)","S911659.2121962","TRANSITORY_COMP","-1","16.9","-16.9","0.0","0.0","0.0","0.0","24973","Return of the Mac (Webshop)","Pizza(1020286661040718)","[]","MwSt. 7%","1.07","-15.794393","-1.105607","OA Take-Away"
"S911659.2331672","SP911659.635.22","SY911659.2026.515472","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311731","Bestellung OL077","Online Order(691144)","S911659.2121963","TRANSITORY_COMP","-1","15.9","-15.9","0.0","0.0","0.0","0.0","25147","Vegan Ratatouille (Webshop)","Pizza(1020286661040718)","[]","MwSt. 7%","1.07","-14.859813","-1.040187","OA Take-Away"
"S911659.2331673","SP911659.635.23","SY911659.2026.515473","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311732","Bestellung 2","Mohamed(787690)","S911659.2139484","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","1462","Pizza White Tuna","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","Takeaway"
"S911659.2331674","SP911659.635.24","SY911659.2026.515474","Master(911659)","Master(911659)","24.05.26 05:30","Prod","A911659.311733","Bestellung HH594","Online Order(691144)","S911659.2142348","TRANSITORY_COMP","-1","8.0","-8.0","0.0","0.0","0.0","0.0","15147","Cheese Roll (Webshop)","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","-7.476636","-0.523364","OA Take-Away"
